gene_symbol,Control_rep2,Control_rep3,siCHD4_rep1,siCHD4_rep2,siCHD4_rep3,siARID1A_rep1,siARID1A_rep2,siARID1A_rep3,siCHD4siARID1A_rep1,siCHD4siARID1A_rep2,siCHD4siARID1A_rep3
RNU6-304P,0,0,0,0,0,0.128145153,0,0,0,0,0
CA6,0,0,0,0,0,0,0,0,0,0,0
RN7SL451P,0,0,0,0,0,0,0,0,0,0,0
SLC2A7,0,0,0,0,0,0,0,0,0.218069761,0,0
SLC2A5,0.869256476,1.682520582,1.668904957,1.608321536,1.501654336,1.514881648,1.510136038,1.308462951,1.679369679,1.478207505,1.939364463
GPR157,3.275092411,3.489406581,3.018225718,3.242317948,3.344595842,3.602471489,3.531332594,3.435123409,3.142815586,3.599562551,3.690253875
MIR34AHG,1.052928872,1.398870301,0.98869914,0.776259757,1.080610588,0.801656607,1.268003806,0.96758213,1.303685237,1.149092449,0.790016514
MIR34A,0,0,0,0,0,0,0,0,0,0,0
LNCTAM34A,0.114596401,0.796288393,0,0.531496815,0.213223904,0.455808023,0,0,0.407464323,0.217064144,0.1123805
H6PD,5.556072891,5.482414931,5.619560771,5.759797961,5.668270706,5.628988614,5.652195031,5.666075192,5.613939057,5.670372407,5.803332705
SPSB1,5.051348405,4.849406484,5.044080785,4.992026155,5.209310779,4.636458549,4.518306937,4.758129355,4.947725069,4.766705109,4.903073893
LINC02606,0.732379464,0.653456811,0.507803285,0.617781509,0.563477945,0.639071119,0.692536992,0.43026014,0.407464323,0.572499103,0.1123805
RNA5SP40,0,0,0,0,0,0,0,0,0,0,0
SLC25A33,3.613933354,3.75730799,3.321954317,3.384474683,2.912709272,3.656606365,3.647349239,3.954861188,3.625358383,3.369610637,3.433262236
RPL9P11,0.114596401,0,0.098033997,0.531496815,0.309075793,0,0.611744073,0.685342697,0.113151241,0.314462984,0.313862762
TMEM201,5.224029989,5.260118402,5.322801584,5.266975516,5.629341989,5.553956609,5.3868162,5.482047129,5.663548963,5.602087899,5.655820869
PIK3CD,6.689057886,6.797643279,7.079263678,7.074747233,7.034836084,6.509395949,6.568560351,6.572376427,6.73903556,6.784924981,6.701068283
PIK3CD-AS1,0,0,0,0,0,0,0,0,0,0,0
PIK3CD-AS2,0.933114331,0.862729154,0.936651853,0.776259757,0.779672694,1.201902104,0.910867484,1.090378352,1.153041406,1.29941587,1.557900838
CLSTN1,8.696469072,8.673101805,8.900259093,8.879631332,8.934927511,8.701160822,8.646334716,8.671132009,8.915947319,8.856674907,8.964919766
CTNNBIP1,4.830211933,4.529747692,4.698298591,4.506963011,4.63295103,4.524463855,4.551176392,4.586183455,4.675704785,4.617241996,4.585381679
LZIC,5.392501951,5.516348882,5.022396053,5.170351582,5.106345374,5.21824644,5.356142988,5.416068987,5.365375996,5.195319647,5.230192376
NMNAT1,3.224948511,3.489406581,3.493881999,4.004992878,3.321796203,3.463605547,3.616622228,3.388015263,3.596456635,3.457528087,3.547620397
TMEM274P,0,0,0,0,0,0.354636167,0.233931168,0,0,0,0
MIR5697,0,0.113497158,0,0,0,0,0,0,0,0,0
RBP7,3.262718881,3.006995532,3.259769358,3.420931282,3.378133626,2.993959951,2.975514714,3.126205179,3.387393498,3.2267918,3.527490951
UBE4B,6.903486231,6.950578224,6.823893651,6.892041012,6.829942207,6.673299301,6.761144995,6.742372895,6.747824091,6.644478286,6.711142665
RPL21P21,0,0,0,0,0,0,0,0,0,0,0
